Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, VWMA, Diff, Avg, Inertia, CC, Line1, Line2, Line3
2021/1/12, 12:18:25.537, 2118.7, 2118.7, 2117.7, 2117.7, 398, 145, 2118.2, 2118.1, 2118.3, 86, 312, 2117.3, 0.433, 2.3, 0.296, 0.260, 0.000, 3.000, -3.000
2021/1/12, 12:19:26.823, 2117.7, 2117.7, 2116.7, 2116.7, 549, 311, 2117.4, 2117.3, 2117.6, 182, 367, 2117.4, -0.689, 1.6, 0.272, 0.260, 0.000, 3.000, -3.000
2021/1/12, 12:21:47.126, 2116.7, 2116.7, 2115.7, 2115.8, 162, 151, 2116.3, 2116.1, 2116.3, 100, 62, 2117.7, -1.910, 1.0, 0.202, 0.260, 0.000, 3.000, -3.000
2021/1/12, 12:22:19.70, 2115.8, 2117.7, 2116.7, 2117.6, 271, 253, 2116.6, 2116.9, 2116.6, 126, 145, 2117.8, -0.167, 0.5, 0.110, 0.259, 0.000, 3.000, -3.000
2021/1/12, 12:24:10.393, 2117.6, 2118.7, 2117.7, 2118.7, 119, 114, 2118.1, 2118.3, 2118.1, 65, 54, 2117.9, 0.806, -0.0, 0.034, 0.257, 0.000, 3.000, -3.000
2021/1/12, 12:25:15.432, 2118.7, 2119.7, 2118.7, 2119.7, 639, 609, 2118.9, 2119.0, 2118.7, 294, 345, 2118.1, 1.588, 0.0, -0.004, 0.252, 0.000, 3.000, -3.000
2021/1/12, 12:30:26.525, 2119.7, 2118.7, 2117.7, 2118.7, 1160, 1079, 2119.2, 2119.0, 2119.1, 563, 597, 2118.2, 0.451, 0.0, -0.005, 0.246, 0.000, 3.000, -3.000
2021/1/12, 12:39:00.150, 2118.7, 2119.7, 2118.7, 2119.7, 33, 33, 2119.2, 2119.4, 2119.2, 17, 16, 2118.6, 1.052, 0.3, 0.006, 0.239, 0.000, 3.000, -3.000
2021/1/12, 12:39:15.552, 2119.7, 2120.7, 2119.7, 2120.7, 136, 129, 2120.1, 2120.3, 2120.0, 47, 89, 2118.7, 1.960, 0.9, 0.025, 0.231, 0.000, 3.000, -3.000
2021/1/12, 12:40:42.974, 2120.7, 2119.7, 2118.7, 2118.7, 293, 278, 2119.8, 2119.5, 2119.9, 157, 136, 2118.7, -0.039, 1.0, 0.043, 0.223, 0.000, 3.000, -3.000
2021/1/12, 12:41:40.117, 2118.7, 2118.7, 2117.7, 2117.7, 497, 463, 2118.6, 2118.6, 2119.0, 250, 247, 2118.5, -0.826, 0.7, 0.035, 0.216, 0.000, 3.000, -3.000
2021/1/12, 12:43:48.129, 2117.7, 2117.7, 2116.7, 2117.7, 150, 148, 2117.6, 2117.5, 2117.4, 94, 56, 2118.6, -0.875, 0.3, -0.005, 0.205, 0.000, 3.000, -3.000
2021/1/12, 12:44:25.261, 2117.7, 2118.7, 2117.7, 2118.7, 516, 478, 2117.7, 2117.7, 2117.3, 271, 245, 2118.4, 0.280, 0.3, -0.046, 0.190, 0.000, 3.000, -3.000
2021/1/12, 12:47:37.807, 2118.7, 2119.7, 2118.7, 2119.6, 135, 131, 2119.0, 2119.2, 2118.9, 71, 64, 2118.4, 1.245, 0.3, -0.046, 0.170, 0.000, 3.000, -3.000
2021/1/12, 12:48:36.492, 2119.6, 2120.7, 2119.7, 2120.7, 100, 82, 2120.1, 2120.3, 2120.1, 16, 84, 2118.4, 2.319, 0.4, 0.001, 0.144, 0.000, 3.000, -3.000
2021/1/12, 12:48:50.396, 2120.7, 2119.7, 2118.7, 2118.7, 756, 733, 2119.9, 2119.7, 2120.1, 382, 374, 2118.5, 0.226, 0.4, 0.060, 0.113, 0.000, 3.000, -3.000
2021/1/12, 12:52:15.25, 2118.7, 2120.7, 2119.7, 2120.5, 486, 412, 2119.4, 2119.7, 2119.3, 258, 228, 2118.8, 1.667, 0.8, 0.104, 0.082, 0.000, 3.000, -3.000
2021/1/12, 12:55:44.774, 2120.5, 2121.7, 2120.7, 2121.7, 160, 156, 2121.1, 2121.3, 2121.1, 64, 96, 2119.0, 2.693, 1.4, 0.128, 0.054, 0.000, 3.000, -3.000
2021/1/12, 12:56:12.622, 2121.7, 2120.7, 2119.7, 2119.7, 1567, 1507, 2120.9, 2120.7, 2121.1, 715, 852, 2119.2, 0.475, 1.4, 0.131, 0.028, 0.000, 3.000, -3.000
2021/1/12, 13:06:10.676, 2119.7, 2121.7, 2120.7, 2121.7, 177, 168, 2120.6, 2120.9, 2120.4, 100, 77, 2119.3, 2.402, 1.6, 0.115, 0.007, 0.000, 3.000, -3.000
2021/1/12, 13:07:06.994, 2121.7, 2120.7, 2119.7, 2119.7, 1198, 1154, 2120.9, 2120.6, 2121.0, 584, 614, 2119.3, 0.371, 1.3, 0.077, -0.011, 0.000, 3.000, -3.000
2021/1/12, 13:16:39.11, 2119.7, 2121.7, 2120.7, 2121.7, 231, 220, 2120.6, 2120.9, 2120.5, 107, 124, 2119.5, 2.173, 1.6, 0.042, -0.026, 0.000, 3.000, -3.000
2021/1/12, 13:17:43.18, 2121.7, 2122.7, 2121.7, 2122.7, 656, 168, 2122.2, 2122.4, 2122.2, 68, 588, 2119.8, 2.879, 1.8, 0.039, -0.039, 0.000, 3.000, -3.000
2021/1/12, 13:18:11.672, 2122.7, 2121.7, 2120.7, 2120.7, 1524, 1459, 2121.9, 2121.6, 2122.0, 733, 791, 2120.0, 0.734, 1.5, 0.067, -0.046, 0.000, 3.000, -3.000
2021/1/12, 13:31:56.889, 2120.7, 2122.7, 2121.7, 2122.5, 749, 708, 2121.4, 2121.7, 2121.3, 372, 377, 2120.2, 2.280, 1.8, 0.108, -0.046, 0.000, 3.000, -3.000
2021/1/12, 13:40:14.856, 2122.5, 2123.7, 2122.7, 2123.7, 451, 414, 2122.9, 2123.1, 2122.8, 175, 276, 2120.5, 3.161, 1.9, 0.138, -0.039, 0.000, 3.000, -3.000
2021/1/12, 13:42:52.664, 2123.7, 2124.7, 2123.7, 2124.7, 741, 684, 2123.9, 2123.9, 2123.5, 321, 420, 2120.9, 3.789, 2.5, 0.157, -0.027, 0.000, 3.000, -3.000
2021/1/12, 13:50:00.22, 2124.7, 2123.7, 2122.7, 2122.8, 157, 146, 2123.8, 2123.5, 2123.8, 80, 77, 2121.1, 1.731, 2.4, 0.172, -0.008, 0.000, 3.000, -3.000
2021/1/12, 13:50:21.843, 2122.8, 2124.7, 2123.7, 2124.6, 290, 250, 2123.7, 2124.0, 2123.6, 142, 148, 2121.2, 3.399, 2.5, 0.175, 0.015, 0.000, 3.000, -3.000
2021/1/12, 13:53:01.381, 2124.6, 2125.7, 2124.7, 2125.7, 194, 165, 2125.0, 2125.1, 2124.9, 50, 144, 2121.3, 4.400, 3.1, 0.167, 0.040, 0.000, 3.000, -3.000
2021/1/12, 13:53:58.681, 2125.7, 2126.7, 2125.7, 2126.7, 160, 138, 2126.2, 2126.3, 2126.1, 21, 139, 2121.6, 5.076, 3.6, 0.167, 0.066, 0.000, 3.000, -3.000
2021/1/12, 13:54:06.310, 2126.7, 2127.7, 2126.7, 2127.7, 73, 50, 2127.2, 2127.4, 2127.2, 0, 73, 2121.7, 5.957, 4.1, 0.184, 0.091, 0.000, 3.000, -3.000
2021/1/12, 13:54:06.310, 2127.7, 2128.7, 2127.7, 2127.9, 392, 81, 2128.0, 2128.1, 2128.2, 291, 101, 2122.0, 5.875, 4.4, 0.224, 0.116, 0.000, 3.000, -3.000
2021/1/12, 13:54:06.356, 2127.9, 2127.7, 2126.7, 2127.1, 14, 12, 2127.5, 2127.4, 2127.5, 8, 6, 2122.6, 4.544, 4.9, 0.269, 0.142, 0.000, 3.000, -3.000
2021/1/12, 13:54:06.368, 2127.1, 2126.7, 2125.7, 2125.8, 244, 233, 2126.4, 2126.2, 2126.4, 128, 116, 2122.7, 3.111, 4.8, 0.294, 0.166, 0.000, 3.000, -3.000
2021/1/12, 13:54:19.86, 2125.8, 2125.7, 2124.7, 2124.8, 402, 379, 2125.4, 2125.3, 2125.5, 236, 166, 2123.4, 1.406, 4.3, 0.291, 0.188, 0.000, 3.000, -3.000
2021/1/12, 13:56:25.898, 2124.8, 2126.7, 2125.7, 2125.7, 476, 424, 2125.3, 2125.4, 2125.3, 197, 279, 2123.6, 2.077, 3.8, 0.261, 0.215, 0.000, 3.000, -3.000
2021/1/12, 13:58:31.199, 2125.7, 2125.7, 2124.7, 2124.7, 828, 810, 2125.5, 2125.5, 2125.9, 418, 410, 2123.8, 0.854, 3.0, 0.213, 0.242, 0.000, 3.000, -3.000
2021/1/12, 14:00:00.499, 2124.7, 2124.7, 2123.7, 2124.0, 39, 39, 2124.3, 2124.2, 2124.3, 19, 20, 2124.8, -0.767, 1.9, 0.147, 0.265, 0.000, 3.000, -3.000
2021/1/12, 14:00:02.1, 2124.0, 2123.7, 2122.7, 2122.7, 655, 600, 2123.7, 2123.6, 2124.0, 364, 291, 2124.8, -2.135, 0.8, 0.068, 0.283, 0.000, 3.000, -3.000
2021/1/12, 14:04:07.12, 2122.7, 2122.7, 2122.2, 2123.5, 581, 514, 2123.1, 2123.2, 2123.0, 303, 278, 2124.8, -1.285, 0.0, -0.003, 0.293, 0.000, 3.000, -3.000
2021/1/12, 14:30:00.0, 2123.2, 2124.2, 2123.2, 2123.2, 2, 2, 2123.2, 2123.2, 2123.2, 1, 1, 2124.8, -1.598, -0.5, -0.054, 0.294, 0.000, 3.000, -3.000
2021/1/12, 14:30:28.715, 2123.2, 2125.2, 2124.2, 2125.2, 90, 58, 2124.2, 2124.5, 2124.2, 33, 57, 2124.9, 0.323, -0.8, -0.092, 0.285, 0.000, 3.000, -3.000
2021/1/12, 14:31:59.802, 2125.2, 2124.2, 2123.2, 2123.6, 52, 40, 2124.3, 2124.0, 2124.2, 29, 23, 2124.9, -1.280, -1.1, -0.126, 0.271, 0.000, 3.000, -3.000
2021/1/12, 14:36:50.943, 2123.6, 2123.2, 2122.2, 2122.2, 16, 12, 2122.9, 2122.7, 2122.9, 16, 0, 2124.8, -2.630, -1.4, -0.164, 0.257, 0.000, 3.000, -3.000
2021/1/12, 14:36:50.998, 2122.2, 2124.2, 2123.2, 2123.9, 29, 18, 2123.0, 2123.3, 2123.0, 20, 9, 2124.7, -0.846, -1.2, -0.197, 0.238, 0.000, 3.000, -3.000
2021/1/12, 14:39:22.706, 2123.9, 2125.2, 2124.2, 2125.0, 12, 7, 2124.4, 2124.6, 2124.4, 9, 3, 2124.7, 0.310, -1.0, -0.206, 0.218, 0.000, 3.000, -3.000
2021/1/12, 14:40:05.968, 2125.0, 2126.2, 2125.2, 2126.2, 43, 24, 2125.6, 2125.8, 2125.6, 6, 37, 2124.3, 1.852, -0.4, -0.172, 0.196, 0.000, 3.000, -3.000
2021/1/12, 14:41:00.902, 2126.2, 2125.2, 2124.2, 2124.8, 19, 17, 2125.6, 2125.4, 2125.6, 6, 13, 2124.3, 0.461, -0.4, -0.108, 0.177, 0.000, 3.000, -3.000
2021/1/12, 14:44:00.775, 2124.8, 2124.2, 2123.2, 2123.4, 37, 28, 2124.1, 2123.8, 2124.1, 20, 17, 2124.2, -0.820, -0.3, -0.047, 0.161, 0.000, 3.000, -3.000
2021/1/12, 14:47:28.68, 2123.4, 2123.2, 2122.2, 2122.2, 65, 60, 2122.9, 2122.8, 2123.0, 33, 32, 2124.1, -1.896, -0.2, -0.009, 0.147, 0.000, 3.000, -3.000
2021/1/12, 14:56:05.873, 2122.2, 2124.2, 2123.2, 2124.0, 320, 230, 2122.9, 2123.1, 2122.6, 69, 42, 2123.8, 0.189, 0.0, 0.012, 0.133, 0.000, 3.000, -3.000
2021/1/12, 16:15:21.962, 2124.0, 2125.2, 2124.2, 2125.0, 15, 9, 2124.5, 2124.7, 2124.6, 4, 11, 2123.4, 1.552, 0.2, 0.032, 0.124, 0.000, 3.000, -3.000
2021/1/12, 16:16:23.503, 2125.0, 2124.2, 2123.2, 2123.6, 86, 69, 2124.5, 2124.3, 2124.6, 47, 39, 2123.4, 0.156, -0.1, 0.047, 0.121, 0.000, 3.000, -3.000
2021/1/12, 16:36:38.489, 2123.6, 2123.2, 2122.2, 2122.6, 29, 23, 2123.1, 2122.9, 2123.1, 18, 11, 2123.8, -1.175, -0.3, 0.038, 0.123, 0.000, 3.000, -3.000
2021/1/12, 16:44:46.142, 2122.6, 2124.2, 2123.2, 2124.0, 65, 45, 2123.1, 2123.3, 2122.9, 20, 45, 2124.0, 0.027, -0.2, 0.014, 0.128, 0.000, 3.000, -3.000
2021/1/12, 16:57:15.367, 2124.0, 2125.2, 2124.2, 2125.2, 96, 74, 2124.5, 2124.7, 2124.4, 49, 47, 2124.1, 1.104, 0.3, 0.008, 0.135, 0.000, 3.000, -3.000
2021/1/12, 17:16:14.566, 2125.2, 2126.2, 2125.2, 2126.2, 92, 65, 2125.6, 2125.7, 2125.4, 40, 52, 2124.2, 2.008, 0.6, 0.031, 0.141, 0.000, 3.000, -3.000
2021/1/12, 17:26:07.285, 2126.2, 2125.2, 2124.2, 2125.2, 129, 97, 2125.5, 2125.3, 2125.3, 62, 67, 2124.3, 0.855, 0.5, 0.058, 0.146, 0.000, 3.000, -3.000
2021/1/12, 17:38:10.684, 2125.2, 2126.2, 2125.2, 2126.2, 81, 45, 2125.5, 2125.6, 2125.4, 43, 38, 2124.5, 1.690, 0.8, 0.062, 0.150, 0.000, 3.000, -3.000
2021/1/12, 17:46:20.559, 2126.2, 2125.2, 2124.2, 2124.5, 83, 57, 2125.4, 2125.2, 2125.6, 48, 35, 2124.5, -0.024, 0.9, 0.049, 0.154, 0.000, 3.000, -3.000
2021/1/12, 17:56:10.334, 2124.5, 2126.2, 2125.2, 2125.6, 170, 141, 2124.9, 2125.1, 2124.8, 72, 98, 2124.7, 0.942, 1.1, 0.044, 0.161, 0.000, 3.000, -3.000
2021/1/12, 21:30:30.0, 2130.2, 2130.2, 2129.2, 2130.2, 10, 7, 2130.1, 2130.1, 2130.1, 0, 0, 2124.6, 5.551, 1.8, 0.054, 0.170, 0.000, 3.000, -3.000
2021/1/12, 21:30:30.0, 2130.2, 2131.2, 2130.2, 2131.2, 52, 32, 2130.7, 2130.9, 2130.7, 12, 12, 2124.9, 6.297, 2.6, 0.069, 0.181, 0.000, 3.000, -3.000
2021/1/12, 21:40:27.414, 2131.2, 2131.4, 2131.2, 2131.2, 11, 10, 2131.2, 2131.2, 2131.1, 4, 7, 2125.0, 6.201, 3.4, 0.088, 0.193, 0.000, 3.000, -3.000